gcc -Wall -Wextra -pthread -c tickets.c -o tickets.o
gcc -Wall -Wextra -pthread -c queue.c -o queue.o
gcc -Wall -Wextra -pthread tickets.o queue.o -o p3
./p3 10

Starting the Thread Simulation Process
--------------------------------------------------------------------------------------------------
| Time  | Seller Name |                 Activity               | Response Time | Turnaround Time |
--------------------------------------------------------------------------------------------------
| 00:00 |    L6       | Customer L601 arrived                  |               |                 |
| 00:00 |    L6       | Serving Customer L601                  |             0 |                 |
| 00:00 |    M1       | Customer M101 arrived                  |               |                 |
| 00:00 |    M1       | Serving Customer M101                  |             0 |                 |
| 00:01 |    L2       | Customer L201 arrived                  |               |                 |
| 00:01 |    L2       | Serving Customer L201                  |             0 |                 |
| 00:01 |    H1       | Customer H101 arrived                  |               |                 |
| 00:01 |    H1       | Serving Customer H101                  |             0 |                 |
| 00:02 |    M1       | Customer M102 arrived                  |               |                 |
| 00:02 |    L2       | Customer L202 arrived                  |               |                 |
| 00:02 |    M2       | Customer M201 arrived                  |               |                 |
| 00:02 |    M2       | Customer M202 arrived                  |               |                 |
| 00:02 |    M2       | Serving Customer M201                  |             0 |                 |
| 00:02 |    H1       | Customer H101 is assigned seat 0       |             0 |             2   |
| 00:03 |    M1       | Customer M101 is assigned seat 5       |             0 |             3   |
| 00:03 |    L5       | Customer L501 arrived                  |               |                 |
| 00:03 |    L5       | Serving Customer L501                  |             0 |                 |
| 00:03 |    L4       | Customer L401 arrived                  |               |                 |
| 00:03 |    L4       | Serving Customer L401                  |             0 |                 |
| 00:04 |    M1       | Serving Customer M102                  |             2 |                 |
| 00:05 |    L3       | Customer L301 arrived                  |               |                 |
| 00:05 |    L3       | Serving Customer L301                  |             0 |                 |
| 00:06 |    L6       | Customer L602 arrived                  |               |                 |
| 00:06 |    M1       | Customer M103 arrived                  |               |                 |
| 00:06 |    M2       | Customer M201 is assigned seat 5       |             1 |             6   |
| 00:07 |    L6       | Customer L601 is assigned seat 9       |             9 |             7   |
| 00:07 |    L2       | Customer L201 is assigned seat 9       |             8 |             7   |
| 00:07 |    M2       | Customer M203 arrived                  |               |                 |
| 00:07 |    M2       | Serving Customer M202                  |             5 |                 |
| 00:07 |    M1       | Customer M104 arrived                  |               |                 |
| 00:07 |    L5       | Customer L502 arrived                  |               |                 |
| 00:08 |    L4       | Customer L401 is assigned seat 9       |             7 |             8   |
| 00:08 |    M2       | Customer M204 arrived                  |               |                 |
| 00:08 |    M1       | Customer M102 is assigned seat 5       |             2 |             8   |
| 00:08 |    L6       | Serving Customer L602                  |             2 |                 |
| 00:08 |    L5       | Customer L503 arrived                  |               |                 |
| 00:08 |    L2       | Serving Customer L202                  |             6 |                 |
| 00:08 |    L5       | Customer L501 is assigned seat 9       |             6 |             8   |
| 00:09 |    L1       | Customer L101 arrived                  |               |                 |
| 00:09 |    M2       | Customer M205 arrived                  |               |                 |
| 00:09 |    L1       | Serving Customer L101                  |             0 |                 |
| 00:09 |    M1       | Serving Customer M103                  |             3 |                 |
| 00:09 |    L3       | Customer L302 arrived                  |               |                 |
| 00:09 |    L5       | Serving Customer L502                  |             2 |                 |
| 00:09 |    M2       | Customer M202 is assigned seat 5       |             3 |             9   |
| 00:09 |    H1       | Customer H102 arrived                  |               |                 |
| 00:09 |    H1       | Serving Customer H102                  |             0 |                 |
| 00:10 |    L3       | Customer L301 is assigned seat 9       |             5 |            10   |
| 00:10 |    M2       | Serving Customer M203                  |             3 |                 |
| 00:11 |    L5       | Customer L504 arrived                  |               |                 |
| 00:11 |    M2       | Customer M206 arrived                  |               |                 |
| 00:11 |    H1       | Customer H102 is assigned seat 0       |             1 |            11   |
| 00:11 |    L3       | Serving Customer L302                  |             2 |                 |
| 00:12 |    L6       | Customer L603 arrived                  |               |                 |
| 00:12 |    L6       | Customer L602 is assigned seat 9       |             4 |            12   |
| 00:12 |    H1       | Customer H103 arrived                  |               |                 |
| 00:12 |    H1       | Serving Customer H103                  |             0 |                 |
| 00:12 |    M2       | Customer M203 is assigned seat 5       |             4 |            12   |
| 00:12 |    L2       | Customer L202 is assigned seat 9       |             3 |            12   |
| 00:13 |    L6       | Serving Customer L603                  |             1 |                 |
| 00:13 |    M1       | Customer M103 is assigned seat 5       |             5 |            13   |
| 00:13 |    L3       | Customer L303 arrived                  |               |                 |
| 00:13 |    M3       | Customer M301 arrived                  |               |                 |
| 00:13 |    M3       | Serving Customer M301                  |             0 |                 |
| 00:13 |    M2       | Serving Customer M204                  |             5 |                 |
| 00:13 |    H1       | Customer H103 is assigned seat 0       |             2 |            13   |
| 00:14 |    M1       | Serving Customer M104                  |             7 |                 |
| 00:14 |    L1       | Customer L101 is assigned seat 9       |             2 |            14   |
| 00:14 |    L4       | Customer L402 arrived                  |               |                 |
| 00:14 |    L5       | Customer L505 arrived                  |               |                 |
| 00:14 |    L4       | Customer L403 arrived                  |               |                 |
| 00:14 |    L4       | Serving Customer L402                  |             0 |                 |
| 00:15 |    L5       | Customer L502 is assigned seat 9       |             1 |            15   |
| 00:15 |    L4       | Customer L404 arrived                  |               |                 |
| 00:15 |    M2       | Customer M204 is assigned seat 5       |             6 |            15   |
| 00:16 |    L2       | Customer L203 arrived                  |               |                 |
| 00:16 |    L2       | Serving Customer L203                  |             0 |                 |
| 00:16 |    M1       | Customer M105 arrived                  |               |                 |
| 00:16 |    M3       | Customer M302 arrived                  |               |                 |
| 00:16 |    M2       | Serving Customer M205                  |             7 |                 |
| 00:16 |    L5       | Serving Customer L503                  |             8 |                 |
| 00:16 |    M1       | Customer M104 is assigned seat 5       |             7 |            16   |
| 00:16 |    M3       | Customer M301 is assigned seat 5       |             8 |            16   |
| 00:16 |    L3       | Customer L302 is assigned seat 9       |             0 |            16   |
| 00:17 |    L3       | Customer L304 arrived                  |               |                 |
| 00:17 |    L3       | Serving Customer L303                  |             4 |                 |
| 00:17 |    M3       | Serving Customer M302                  |             1 |                 |
