[rmodak@linux20305 Project6]$ gcc -o pipe main.c
[rmodak@linux20305 Project6]$ ./pipe
0:00.003: 0:00.000: Child 3 Message 0
0:01.000: 0:01.000: Child 1 Message 0
0:01.000: 0:01.000: Child 4 Message 0
0:01.000: 0:01.000: Child 3 Message 2
0:01.000: 0:01.000: Child 3 Message 3
0:02.000: 0:02.000: Child 1 Message 2
0:02.000: 0:02.000: Child 2 Message 0
0:02.000: 0:02.000: Child 4 Message 1
0:02.000: 0:02.000: Child 3 Message 4
0:02.000: 0:02.000: Child 4 Message 2
0:03.000: 0:03.000: Child 3 Message 5
0:03.000: 0:03.000: Child 4 Message 3
0:04.000: 0:04.000: Child 2 Message 1
0:04.000: 0:04.000: Child 1 Message 3
0:04.000: 0:04.000: Child 2 Message 2
0:04.000: 0:04.000: Child 2 Message 3
0:04.000: 0:04.000: Child 2 Message 4
0:04.000: 0:04.000: Child 2 Message 5
0:04.001: 0:04.000: Child 3 Message 6
0:05.000: 0:05.001: Child 1 Message 4
0:05.001: 0:05.001: Child 2 Message 6
0:05.001: 0:05.000: Child 4 Message 4
0:05.001: 0:05.001: Child 3 Message 7
0:06.001: 0:06.001: Child 1 Message 5
0:06.001: 0:06.001: Child 1 Message 6
0:06.001: 0:06.001: Child 1 Message 7
0:06.001: 0:06.001: Child 2 Message 8
0:06.001: 0:06.001: Child 2 Message 9
0:06.001: 0:06.001: Child 3 Message 8
0:06.001: 0:06.001: Child 2 Message 10
0:06.001: 0:06.001: Child 3 Message 9
0:07.001: 0:07.001: Child 1 Message 8
0:07.001: 0:07.001: Child 4 Message 5
0:07.001: 0:07.001: Child 3 Message 10
0:08.001: 0:08.001: Child 2 Message 11
0:08.001: 0:08.001: Child 3 Message 11
0:08.001: 0:08.001: Child 3 Message 12
0:09.001: 0:09.001: Child 1 Message 9
0:09.001: 0:09.001: Child 4 Message 6
0:09.001: 0:09.001: Child 4 Message 7
0:09.001: 0:09.001: Child 3 Message 14
0:10.001: 0:10.001: Child 1 Message 10
0:10.001: 0:10.001: Child 2 Message 12
0:10.001: 0:10.001: Child 4 Message 8
0:10.002: 0:10.002: Child 3 Message 15
0:11.002: 0:11.002: Child 3 Message 17
0:12.001: 0:12.002: Child 1 Message 11
0:12.002: 0:12.001: Child 4 Message 9
0:12.002: 0:12.002: Child 2 Message 14
0:12.002: 0:12.002: Child 2 Message 15
0:12.002: 0:12.002: Child 3 Message 19
0:12.002: 0:12.002: Child 3 Message 20
0:13.002: 0:13.002: Child 1 Message 12
0:13.002: 0:13.002: Child 4 Message 10
0:13.003: 0:13.002: Child 3 Message 21
0:14.002: 0:14.002: Child 2 Message 17
0:14.002: 0:14.002: Child 4 Message 12
0:15.002: 0:15.002: Child 1 Message 13
0:15.002: 0:15.002: Child 4 Message 13
0:15.003: 0:15.003: Child 3 Message 22
